scenario,time,state,obs,action,value,rep,method
1,73,32,32,9,0.003822152175875545,3,POMDP
1,74,34,34,11,0.0045388057088522095,3,POMDP
1,75,32,32,9,0.003449492338727679,3,POMDP
1,76,34,34,11,0.004096272152239119,3,POMDP
1,77,35,35,12,0.004280604399089879,3,POMDP
1,78,33,33,10,0.0033271970556562236,3,POMDP
1,79,34,34,11,0.003512041336526014,3,POMDP
1,80,33,33,10,0.0030027953427297417,3,POMDP
1,81,34,34,11,0.003169617306214727,3,POMDP
1,82,34,34,11,0.003011136440903991,3,POMDP
1,83,32,32,9,0.0022884636950870328,3,POMDP
1,84,32,32,9,0.002174040510332681,3,POMDP
1,85,34,34,11,0.0025816731060200587,3,POMDP
1,86,32,32,9,0.0019620715605752443,3,POMDP
1,87,34,34,11,0.0023299599781831026,3,POMDP
1,88,33,33,10,0.0019921157813465526,3,POMDP
1,89,33,33,10,0.001892509992279225,3,POMDP
1,90,33,33,10,0.0017978844926652636,3,POMDP
1,91,33,33,10,0.0017079902680320002,3,POMDP
1,92,32,32,9,0.0014423028930048004,3,POMDP
1,93,32,32,9,0.0013701877483545603,3,POMDP
1,94,34,34,11,0.0016270979511710402,3,POMDP
1,95,34,34,11,0.0015457430536124882,3,POMDP
1,96,33,33,10,0.0013216103108386773,3,POMDP
1,97,33,33,10,0.0012555297952967432,3,POMDP
1,98,35,35,12,0.0014578095956501074,3,POMDP
1,99,33,33,10,0.0011331156402553107,3,POMDP
1,1,9,9,1,0,4,POMDP
1,2,14,14,1,0,4,POMDP
1,3,22,22,1,0,4,POMDP
1,4,33,33,10,0.14809204545454543,4,POMDP
1,5,33,33,10,0.14068744318181814,4,POMDP
1,6,34,34,11,0.14850341224747474,4,POMDP
1,7,35,35,12,0.15518606579861105,4,POMDP
1,8,33,33,10,0.12062189659801133,4,POMDP
1,9,35,35,12,0.14005542438324647,4,POMDP
1,10,32,32,9,0.09676556593751576,4,POMDP
1,11,36,36,13,0.13789093146095993,4,POMDP
1,12,34,34,11,0.10916365407325994,4,POMDP
1,13,34,34,11,0.10370547136959694,4,POMDP
1,14,33,33,10,0.08866817802100538,4,POMDP
1,15,32,32,9,0.07487535032884898,4,POMDP
1,16,33,33,10,0.08002303066395734,4,POMDP
1,17,32,32,9,0.0675750036717862,4,POMDP
1,18,33,33,10,0.0722207851742215,4,POMDP
1,19,34,34,11,0.0762330510172338,4,POMDP
1,20,33,33,10,0.06517925861973489,4,POMDP
1,21,34,34,11,0.06880032854305351,4,POMDP
1,22,33,33,10,0.05882428090431073,4,POMDP
1,23,33,33,10,0.0558830668590952,4,POMDP
1,24,32,32,9,0.04719014534768039,4,POMDP
1,25,32,32,9,0.04483063808029637,4,POMDP
1,26,33,33,10,0.04791274444831674,4,POMDP
1,27,33,33,10,0.045517107225900896,4,POMDP
1,28,32,32,9,0.03843666832409409,4,POMDP
1,29,32,32,9,0.036514834907889385,4,POMDP
1,30,31,31,8,0.030352956517183054,4,POMDP
1,31,33,33,10,0.03707396831741643,4,POMDP
1,32,33,33,10,0.035220269901545614,4,POMDP
1,33,33,33,10,0.03345925640646833,4,POMDP
1,34,33,33,10,0.03178629358614491,4,POMDP
1,35,33,33,10,0.030196978906837667,4,POMDP
1,36,34,34,11,0.03187458884610642,4,POMDP
1,37,32,32,9,0.024224687523040883,4,POMDP
1,38,31,31,8,0.020136771503527735,4,POMDP
1,39,33,33,10,0.02459562805073744,4,POMDP
1,40,35,35,12,0.02855825701446736,4,POMDP
1,41,35,35,12,0.027130344163743995,4,POMDP
1,42,33,33,10,0.02108767660000101,4,POMDP
1,43,33,33,10,0.02003329277000096,4,POMDP
1,44,31,31,8,0.014802377435611823,4,POMDP
1,45,32,32,9,0.016071152644378545,4,POMDP
1,46,32,32,9,0.015267595012159619,4,POMDP
1,47,34,34,11,0.01813026907693955,4,POMDP
1,48,35,35,12,0.018946131185401824,4,POMDP
1,49,33,33,10,0.014726311057744145,4,POMDP
1,50,33,33,10,0.013989995504856937,4,POMDP
1,51,33,33,10,0.013290495729614089,4,POMDP
1,52,33,33,10,0.012625970943133384,4,POMDP
1,53,33,33,10,0.011994672395976716,4,POMDP
1,54,32,32,9,0.01012883446771367,4,POMDP
1,55,32,32,9,0.009622392744327987,4,POMDP
1,56,33,33,10,0.010283932245500534,4,POMDP
1,57,34,34,11,0.010855261814695009,4,POMDP
1,58,34,34,11,0.010312498723960258,4,POMDP
1,59,33,33,10,0.00881718640898602,4,POMDP
1,60,34,34,11,0.009307030098374131,4,POMDP
1,61,33,33,10,0.007957510734109881,4,POMDP
1,62,33,33,10,0.007559635197404387,4,POMDP
1,63,34,34,11,0.00797961493059352,4,POMDP
1,64,32,32,9,0.0060645073472510745,4,POMDP
1,65,34,34,11,0.007201602474860651,4,POMDP
1,66,34,34,11,0.0068415223511176185,4,POMDP
1,67,34,34,11,0.006499446233561737,4,POMDP
1,68,31,31,8,0.004322131745318555,4,POMDP
1,69,34,34,11,0.005865750225789467,4,POMDP
1,70,32,32,9,0.004457970171599995,4,POMDP
1,71,33,33,10,0.004764455620897494,4,POMDP
1,72,33,33,10,0.004526232839852619,4,POMDP
1,73,31,31,8,0.0033443831538911024,4,POMDP
