time,method,mean,sd
62,MSY,0.18707070707070708,0.30666957297352393
62,TAC,0.3812121212121212,0.38765526625950786
63,CE,0.515959595959596,0.26787807689674126
63,MSY,0.17050505050505052,0.294514496697722
63,TAC,0.3975757575757576,0.39737259050260826
64,CE,0.5416161616161617,0.27437473590675504
64,MSY,0.157979797979798,0.2776261563175022
64,TAC,0.4074747474747475,0.40998639835974404
65,CE,0.5258585858585859,0.27090854385513646
65,MSY,0.16181818181818183,0.2887638567480282
65,TAC,0.3901010101010101,0.3970385550305961
66,CE,0.534949494949495,0.2735740198738497
66,MSY,0.16383838383838384,0.28886948105502863
66,TAC,0.39353535353535357,0.3940660482513928
67,CE,0.5420202020202021,0.2896128969664193
67,MSY,0.16121212121212122,0.2875834463079761
67,TAC,0.3997979797979798,0.389285690732287
68,CE,0.5248484848484849,0.26572353649045505
68,MSY,0.17030303030303032,0.3119426078112158
68,TAC,0.3995959595959596,0.4006240629340079
69,CE,0.527878787878788,0.27212621815495086
69,MSY,0.17111111111111113,0.31231505922446673
69,TAC,0.3985858585858586,0.39828421900424493
70,CE,0.5311111111111112,0.2743537003034546
70,MSY,0.17737373737373738,0.31763052215214965
70,TAC,0.4133333333333334,0.41170587912944656
71,CE,0.5228282828282829,0.27755041664069485
71,MSY,0.17494949494949497,0.31848130652478307
71,TAC,0.3975757575757576,0.40042129768754375
72,CE,0.5137373737373738,0.2789870626632075
72,MSY,0.16606060606060608,0.30079206044299495
72,TAC,0.42383838383838385,0.427981443779804
73,CE,0.5240404040404041,0.27874410578636927
73,MSY,0.1688888888888889,0.314800753947127
73,TAC,0.41050505050505054,0.41020579149075465
74,CE,0.5303030303030304,0.27651017224678553
74,MSY,0.1606060606060606,0.300967368464945
74,TAC,0.40181818181818185,0.4006067238288707
75,CE,0.5325252525252526,0.2777173135443713
75,MSY,0.15898989898989901,0.29830212619314606
75,TAC,0.40101010101010104,0.3991064420204205
76,CE,0.5256565656565657,0.28154240022219107
76,MSY,0.1507070707070707,0.29471179411464465
76,TAC,0.4044444444444445,0.3993088941639784
77,CE,0.5381818181818182,0.2881782971636274
77,MSY,0.15717171717171718,0.306951200841555
77,TAC,0.4002020202020202,0.4031384177441584
78,CE,0.5208080808080808,0.2742678132301391
78,MSY,0.1492929292929293,0.2869364356799309
78,TAC,0.39737373737373743,0.40161556832020917
79,CE,0.5498989898989899,0.29159217606288323
79,MSY,0.15131313131313132,0.28973300966019294
79,TAC,0.3751515151515152,0.3820703134138688
80,CE,0.5529292929292929,0.2866742602454997
80,MSY,0.15212121212121213,0.29455837531417806
80,TAC,0.37414141414141416,0.38223455195560396
81,CE,0.516969696969697,0.2693923305069885
81,MSY,0.14464646464646466,0.2756492639739482
81,TAC,0.3808080808080808,0.39333197554578453
82,CE,0.5214141414141414,0.27878662188875125
82,MSY,0.1478787878787879,0.287194711492728
82,TAC,0.39131313131313133,0.39480992870632187
83,CE,0.5072727272727273,0.2648675679715321
83,MSY,0.15939393939393942,0.3036608071824565
83,TAC,0.40080808080808084,0.40827007605002397
84,CE,0.5258585858585859,0.2782650372038385
84,MSY,0.1595959595959596,0.3037368900511145
84,TAC,0.3844444444444445,0.39811443462384305
85,CE,0.5284848484848486,0.27227865016700314
85,MSY,0.14686868686868687,0.2879541194215897
85,TAC,0.37070707070707076,0.3817369807343666
86,CE,0.5585858585858586,0.2920131048034468
86,MSY,0.14383838383838385,0.2859633551300127
86,TAC,0.3808080808080808,0.39088231689753156
87,CE,0.5335353535353535,0.2826109474402139
87,MSY,0.14040404040404042,0.2827171207201917
87,TAC,0.3561616161616162,0.3703387024889822
88,CE,0.49979797979797985,0.2756627234909984
88,MSY,0.15010101010101012,0.2981860182656603
88,TAC,0.35434343434343435,0.37425593510987165
89,CE,0.5361616161616162,0.2822507841778748
89,MSY,0.15313131313131315,0.3103251467308016
89,TAC,0.3393939393939394,0.3814088150439406
90,CE,0.5464646464646465,0.28501168674390465
90,MSY,0.14404040404040405,0.28962143742826063
90,TAC,0.3436363636363637,0.39489178223132526
91,CE,0.5325252525252526,0.2839849829163034
91,MSY,0.13636363636363638,0.2777745313368276
91,TAC,0.3488888888888889,0.3997822243225558
