year,stock,commonname,model
2001,136048,European Plaice,MSY
2002,98944,European Plaice,MSY
2003,111312,European Plaice,MSY
2004,98944,European Plaice,MSY
2005,123680,European Plaice,MSY
2006,123680,European Plaice,MSY
2007,123680,European Plaice,MSY
2008,173152,European Plaice,MSY
2009,185520,European Plaice,MSY
2010,222624,European Plaice,MSY
1986,206625.50335570468,Argentine hake,TAC
1987,167883.22147651005,Argentine hake,TAC
1988,90398.65771812081,Argentine hake,TAC
1989,103312.75167785234,Argentine hake,TAC
1990,116226.84563758389,Argentine hake,TAC
1991,129140.93959731543,Argentine hake,TAC
1992,90398.65771812081,Argentine hake,TAC
1993,64570.469798657716,Argentine hake,TAC
1994,77484.56375838925,Argentine hake,TAC
1995,90398.65771812081,Argentine hake,TAC
1996,90398.65771812081,Argentine hake,TAC
1999,38742.28187919463,Argentine hake,TAC
2e3,38742.28187919463,Argentine hake,TAC
2006,25828.187919463086,Argentine hake,TAC
2007,25828.187919463086,Argentine hake,TAC
1957,98944,European Plaice,TAC
1958,111312,European Plaice,TAC
1959,111312,European Plaice,TAC
1960,123680,European Plaice,TAC
1961,123680,European Plaice,TAC
1962,136048,European Plaice,TAC
1963,136048,European Plaice,TAC
1964,136048,European Plaice,TAC
1965,136048,European Plaice,TAC
1966,136048,European Plaice,TAC
1967,160784,European Plaice,TAC
1968,148416,European Plaice,TAC
1969,136048,European Plaice,TAC
1970,123680,European Plaice,TAC
1971,123680,European Plaice,TAC
1972,123680,European Plaice,TAC
1973,98944,European Plaice,TAC
1974,111312,European Plaice,TAC
1975,111312,European Plaice,TAC
1976,123680,European Plaice,TAC
1977,123680,European Plaice,TAC
1978,111312,European Plaice,TAC
1979,111312,European Plaice,TAC
1980,98944,European Plaice,TAC
1981,98944,European Plaice,TAC
1982,98944,European Plaice,TAC
1983,123680,European Plaice,TAC
1984,123680,European Plaice,TAC
1985,136048,European Plaice,TAC
1986,136048,European Plaice,TAC
1987,173152,European Plaice,TAC
1988,148416,European Plaice,TAC
1989,160784,European Plaice,TAC
1990,148416,European Plaice,TAC
1991,136048,European Plaice,TAC
1992,111312,European Plaice,TAC
1993,98944,European Plaice,TAC
1994,86576,European Plaice,TAC
1995,86576,European Plaice,TAC
1996,74208,European Plaice,TAC
1997,86576,European Plaice,TAC
1998,86576,European Plaice,TAC
1999,74208,European Plaice,TAC
2e3,86576,European Plaice,TAC
2001,98944,European Plaice,TAC
2002,74208,European Plaice,TAC
2003,86576,European Plaice,TAC
2004,86576,European Plaice,TAC
2005,98944,European Plaice,TAC
2006,98944,European Plaice,TAC
2007,98944,European Plaice,TAC
2008,136048,European Plaice,TAC
2009,148416,European Plaice,TAC
2010,173152,European Plaice,TAC
